"filename", "language", "TypeScript", "JavaScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "CSS", "comment", "blank", "total"
"c:\Users\J4Y\Desktop\kamusinde\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\J4Y\Desktop\kamusinde\components.json", "JSON", 0, 0, 21, 0, 0, 0, 0, 0, 0, 21
"c:\Users\J4Y\Desktop\kamusinde\next.config.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 3, 13
"c:\Users\J4Y\Desktop\kamusinde\package-lock.json", "JSON", 0, 0, 5379, 0, 0, 0, 0, 0, 1, 5380
"c:\Users\J4Y\Desktop\kamusinde\package.json", "JSON", 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"c:\Users\J4Y\Desktop\kamusinde\postcss.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\J4Y\Desktop\kamusinde\src\app\(auth)\auth\error\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 98, 0, 0, 5, 7, 110
"c:\Users\J4Y\Desktop\kamusinde\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 12, 0, 0, 1, 2, 15
"c:\Users\J4Y\Desktop\kamusinde\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 177, 0, 0, 19, 11, 207
"c:\Users\J4Y\Desktop\kamusinde\src\app\(auth)\signup\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 179, 0, 0, 31, 15, 225
"c:\Users\J4Y\Desktop\kamusinde\src\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 16, 0, 0, 1, 2, 19
"c:\Users\J4Y\Desktop\kamusinde\src\app\(root)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 103, 0, 0, 11, 9, 123
"c:\Users\J4Y\Desktop\kamusinde\src\app\api\auth\[...nextauth]\route.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 1, 3, 8
"c:\Users\J4Y\Desktop\kamusinde\src\app\api\classes\[id]\courses\route.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\Users\J4Y\Desktop\kamusinde\src\app\api\classes\[id]\route.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 4, 7, 58
"c:\Users\J4Y\Desktop\kamusinde\src\app\api\classes\[id]\students\route.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\J4Y\Desktop\kamusinde\src\app\api\classes\route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\attendance\[studentId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 203, 0, 0, 3, 28, 234
"c:\Users\J4Y\Desktop\kamusinde\src\app\dashboard\attendance\loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 4, 50
